timestamp,timestamp_ms,pos_fl_sh,pos_fr_sh,pos_bl_sh,pos_br_sh,pos_fl_th,pos_fr_th,pos_bl_th,pos_br_th,pos_fl_ca,pos_fr_ca,pos_bl_ca,pos_br_ca,load_fl_sh,load_fr_sh,load_bl_sh,load_br_sh,load_fl_th,load_fr_th,load_bl_th,load_br_th,load_fl_ca,load_fr_ca,load_bl_ca,load_br_ca,curr_fl_sh,curr_fr_sh,curr_bl_sh,curr_br_sh,curr_fl_th,curr_fr_th,curr_bl_th,curr_br_th,curr_fl_ca,curr_fr_ca,curr_bl_ca,curr_br_ca,temp_fl_sh,temp_fr_sh,temp_bl_sh,temp_br_sh,temp_fl_th,temp_fr_th,temp_bl_th,temp_br_th,temp_fl_ca,temp_fr_ca,temp_bl_ca,temp_br_ca,bus_voltage_v,rpi_cpu_temp_c,rpi_cpu_percent,rpi_memory_percent,rpi_disk_percent,mode,cpg_phase,cmd_vx,cmd_vy,cmd_yaw
2026-01-02T05:02:24.729,55139,0.0,0.0061,-0.0015,0.0046,0.3022,0.2991,0.2961,0.3022,-0.7547,-0.7563,-0.7547,-0.7547,88,52,80,68,76,92,-76,-92,-68,52,-68,72,6,1,4,3,3,4,4,9,3,2,3,3,30,29,31,29,29,30,30,30,30,30,30,31,12.1,56.2,13.0,38.4,47.0,POLICY,0.1056,0.3000,0.0000,0.0000
2026-01-02T05:02:24.930,55339,-0.1657,0.1948,-0.1825,0.1519,0.5123,0.0997,0.0874,0.5108,-0.9787,-0.9756,-0.9802,-0.9833,68,64,84,20,144,96,-120,-120,-216,216,-192,224,1,0,1,0,1,0,0,1,7,10,5,8,30,29,31,29,29,30,30,30,30,29,30,31,12.1,56.2,13.0,38.4,47.0,POLICY,0.2458,0.3000,0.0000,0.0000
2026-01-02T05:02:25.130,55539,-0.1733,0.2608,-0.2347,0.1304,0.6351,0.0568,-0.0061,0.6029,-1.3315,-1.2057,-1.2272,-1.3346,0,0,0,0,-80,-92,80,64,-76,0,-28,80,0,0,0,0,3,2,3,2,0,0,1,0,30,29,31,29,29,30,29,30,30,29,30,31,12.1,56.2,13.0,38.4,47.0,POLICY,0.3860,0.3000,0.0000,0.0000
2026-01-02T05:02:25.331,55739,-0.1963,0.2393,-0.2132,0.1519,0.4203,0.3344,0.2332,0.3666,-1.3959,-1.1106,-1.1582,-1.3959,28,-20,-20,0,-208,-264,224,204,0,-24,20,0,0,1,0,0,6,10,5,4,0,0,0,0,30,29,31,29,29,30,29,30,30,29,30,31,12.1,56.2,23.7,38.4,47.0,POLICY,0.5262,0.3000,0.0000,0.0000
2026-01-02T05:02:25.530,55939,-0.2378,0.204,-0.1657,0.1933,0.0982,0.6734,0.589,0.0644,-1.3959,-1.172,-1.2456,-1.3959,48,-40,20,0,-100,-88,104,84,0,156,-164,0,3,1,1,0,0,1,1,0,0,6,7,0,30,29,31,29,29,30,29,30,30,29,30,31,12.1,56.2,23.7,38.4,47.0,POLICY,0.6664,0.3000,0.0000,0.0000
2026-01-02T05:02:25.731,56139,-0.27,0.1703,-0.135,0.224,0.023,0.6903,0.6381,0.0107,-1.3514,-1.3883,-1.3944,-1.3499,40,-20,20,20,68,96,-80,-136,104,24,0,-104,1,1,0,1,2,3,1,8,3,0,0,3,30,29,31,29,29,30,30,30,30,29,30,31,12.1,56.2,23.7,38.4,47.0,POLICY,0.8066,0.3000,0.0000,0.0000
2026-01-02T05:02:25.931,56339,-0.2684,0.1749,-0.1365,0.2209,0.2669,0.4264,0.3789,0.2792,-1.0508,-1.3929,-1.3944,-1.0416,0,0,28,-24,196,152,-156,-168,132,-20,0,-140,0,0,0,0,3,1,2,4,0,1,0,0,30,29,31,29,29,30,30,30,30,30,30,31,12.1,55.1,17.3,38.4,47.0,POLICY,0.9467,0.3000,0.0000,0.0000
2026-01-02T05:02:26.131,56539,-0.2393,0.204,-0.1687,0.1887,0.6029,0.1657,0.0966,0.5967,-0.8912,-1.3959,-1.3944,-0.8682,-40,48,60,-48,136,140,-100,-132,-20,0,0,20,1,2,3,2,2,4,0,3,0,0,0,1,30,29,31,29,29,30,30,30,30,29,30,31,12.1,55.1,17.3,38.4,47.0,POLICY,0.0870,0.3000,0.0000,0.0000
2026-01-02T05:02:26.332,56789,-0.1856,0.2592,-0.2255,0.135,0.678,0.0245,-0.046,0.6565,-1.1551,-1.3837,-1.3852,-1.1229,0,-28,0,-20,-92,-64,72,108,-192,-60,80,228,0,1,0,0,2,2,2,5,4,2,3,9,30,29,31,29,29,30,30,30,30,30,30,31,12.1,55.1,17.3,38.4,47.0,POLICY,0.2271,0.3000,0.0000,0.0000
2026-01-02T05:02:26.532,56989,-0.1764,0.2654,-0.2286,0.1273,0.4617,0.2301,0.1611,0.4357,-1.3883,-1.1459,-1.1459,-1.3837,24,0,24,0,-128,-168,164,128,-28,-232,216,32,1,0,1,0,2,3,3,2,1,8,6,0,30,29,31,29,29,30,29,30,30,29,30,31,12.1,55.1,25.0,38.6,47.0,POLICY,0.3673,0.3000,0.0000,0.0000
