timestamp,timestamp_ms,pos_fl_sh,pos_fr_sh,pos_bl_sh,pos_br_sh,pos_fl_th,pos_fr_th,pos_bl_th,pos_br_th,pos_fl_ca,pos_fr_ca,pos_bl_ca,pos_br_ca,load_fl_sh,load_fr_sh,load_bl_sh,load_br_sh,load_fl_th,load_fr_th,load_bl_th,load_br_th,load_fl_ca,load_fr_ca,load_bl_ca,load_br_ca,curr_fl_sh,curr_fr_sh,curr_bl_sh,curr_br_sh,curr_fl_th,curr_fr_th,curr_bl_th,curr_br_th,curr_fl_ca,curr_fr_ca,curr_bl_ca,curr_br_ca,temp_fl_sh,temp_fr_sh,temp_bl_sh,temp_br_sh,temp_fl_th,temp_fr_th,temp_bl_th,temp_br_th,temp_fl_ca,temp_fr_ca,temp_bl_ca,temp_br_ca,bus_voltage_v,rpi_cpu_temp_c,rpi_cpu_percent,rpi_memory_percent,rpi_disk_percent,mode,cpg_phase,cmd_vx,cmd_vy,cmd_yaw
2026-01-02T04:29:51.019,0,-0.43471566,0.037945926,-0.045846526,0.4690744,0.2319017,0.10067731,-0.41098052,0.39233556,-0.45050505,0.32300943,-0.14930409,-0.1282147,94,78,33,41,88,74,35,47,60,40,82,64,340,258,148,457,465,348,243,295,464,487,298,188,31,29,30,34,33,34,30,32,32,33,30,34,12.0,56.75,37.3,38.7,47.0,WARMUP,0.0000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.120,200,0.23624794,-0.14241089,-0.4962923,0.4047959,0.22059774,0.31210542,0.17349795,-0.3228043,0.008671299,0.37344342,0.3162683,0.2517513,43,66,49,27,43,52,11,39,70,90,41,0,312,413,334,363,457,363,200,437,382,151,461,142,29,32,31,32,28,31,29,34,33,33,33,29,12.0,56.75,37.3,38.7,47.0,WARMUP,0.1000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.220,400,-0.16714701,-0.46490052,0.043938834,-0.02750093,0.46333122,-0.49295005,0.087305136,0.47152385,0.066527665,0.1333215,0.0484551,-0.16573928,80,94,94,74,33,51,97,89,92,38,7,45,458,205,317,262,455,165,102,249,191,422,380,202,33,31,29,29,34,28,31,34,33,33,32,29,12.0,56.75,37.3,38.7,47.0,WARMUP,0.2000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.321,600,0.34088534,-0.24126577,-0.2689641,0.1366981,-0.047079347,0.3741766,-0.34957105,-0.18439807,0.39360225,-0.4448452,-0.3409193,0.48842278,46,96,51,63,72,1,28,63,97,29,58,53,231,306,101,273,434,153,213,166,357,215,206,193,29,28,33,30,29,33,30,29,31,30,30,28,12.0,56.75,37.3,38.7,47.0,WARMUP,0.3000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.421,800,-0.40866414,0.07920878,0.468668,-0.44412616,0.1500798,0.28560123,0.49594572,-0.48459515,-0.073987186,0.14376041,-0.3136935,0.32925588,85,74,90,80,38,60,20,11,37,25,40,22,243,161,218,332,223,284,245,166,396,212,249,369,33,31,33,30,28,33,33,28,28,34,32,28,12.0,56.75,37.3,38.7,47.0,POLICY,0.4000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.521,1000,-0.14136896,-0.3155347,0.24027418,0.043078743,-0.3253596,0.34690723,-0.23244086,0.013985419,0.18926004,0.21769767,0.3241902,0.3559511,97,94,58,41,51,13,57,98,45,92,21,58,466,437,499,194,278,147,254,286,312,166,376,181,33,31,31,32,30,30,29,33,30,28,31,34,12.0,56.75,9.5,38.6,47.0,POLICY,0.5000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.622,1200,0.2317597,-0.22288813,-0.39680803,-0.2979408,0.22695419,-0.20732993,-0.49902987,-0.49385586,0.120848835,-0.38291827,0.41343468,-0.026374536,20,31,8,15,93,12,17,16,84,88,0,95,367,419,114,249,408,215,398,197,336,149,202,473,29,34,34,29,32,28,32,33,28,29,29,29,12.0,56.75,9.5,38.6,47.0,POLICY,0.6000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.722,1400,-0.22256947,-0.06920706,-0.39749843,0.45144555,-0.11207466,-0.10364712,0.08242706,0.19861852,-0.43153703,-0.30730256,0.45195082,0.12611613,0,72,61,30,67,40,85,98,78,36,74,79,114,333,123,207,228,434,116,273,277,420,226,165,32,34,34,29,33,30,28,33,33,31,34,29,12.0,56.75,9.5,38.6,47.0,POLICY,0.7000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.822,1600,0.34170684,0.12518965,-0.20387752,0.08877357,-0.32181206,-0.30607903,0.091788344,-0.3558373,0.19085452,-0.47446135,0.34630302,-0.36629608,31,60,97,94,67,14,12,14,56,53,84,95,180,203,175,317,498,208,192,186,172,153,434,269,28,28,28,33,30,34,30,32,32,33,30,33,12.0,56.75,9.5,38.6,47.0,POLICY,0.8000,0.3000,0.0000,0.0000
2026-01-02T04:29:51.923,1800,-0.33249342,-0.2976249,-0.19295047,0.31048414,-0.44228178,-0.42594653,0.24125238,0.3437765,-0.41094288,0.21559577,-0.059580836,0.21131827,86,59,82,59,92,51,83,0,0,19,83,0,255,356,235,186,278,408,382,192,333,458,321,383,32,29,31,34,32,30,28,34,30,30,30,33,12.0,56.75,9.5,38.6,47.0,POLICY,0.9000,0.3000,0.0000,0.0000
